RouteID,Starting Address,Ending Address,Waypoints
1,"47.469821, -122.337402","47.815736, -122.295716","via:47.470353, -122.332340|via:47.464101, -122.287962|via:47.462928, -122.283739|via:47.467226, -122.228556|via:47.472673, -122.213126|via:47.473019, -122.203708|via:47.496646, -122.193927|via:47.532560, -122.195640|via:47.583186, -122.175870|via:47.606524, -122.186755|via:47.615450, -122.188953|via:47.660790, -122.186871|via:47.679203, -122.184579|via:47.683874, -122.183261|via:47.704286, -122.179419|via:47.714843, -122.185314|via:47.726027, -122.189113|via:47.768714, -122.189338|via:47.781036, -122.193414|via:47.791430, -122.207249|via:47.793881, -122.211495|via:47.827364, -122.255521|via:47.832140, -122.262888"
2,"47.815736, -122.295716","47.469821, -122.337402","via:47.823693, -122.273504|via:47.793852, -122.214048|via:47.786706, -122.198997|via:47.776773, -122.191643|via:47.768714, -122.189338|via:47.753177, -122.186627|via:47.724512, -122.190063|via:47.714843, -122.185314|via:47.686038, -122.182916|via:47.679203, -122.184579|via:47.661273, -122.187184|via:47.633379, -122.187846|via:47.679203, -122.184580|via:47.583933, -122.176927|via:47.561833, -122.187231|via:47.532560, -122.195640|via:47.512282, -122.198311|via:47.486093, -122.194684|via:47.472673, -122.213126|via:47.467480, -122.227457|via:47.464101, -122.287962|via:47.466066, -122.300491|via:47.469936, -122.325623"
3,"47.469821, -122.337402","47.464101, -122.287962","via: 47.470353, -122.332340|via: 47.466765, -122.303540"
4,"47.464101, -122.287962","47.472673, -122.213126","via: 47.462928, -122.283739|via: 47.467226, -122.228556"
5,"47.472673, -122.213126","47.532560, -122.195640","via: 47.473019, -122.203708|via: 47.496646, -122.193927"
6,"47.532560, -122.195640","47.615450, -122.188953","via: 47.583186, -122.175870|via: 47.606524, -122.186755"
7,"47.615450, -122.188953","47.679203, -122.184579","via: 47.634621, -122.186910|via: 47.660790, -122.186871"
8,"47.679203, -122.184579","47.714843, -122.185314","via: 47.683874, -122.183261|via: 47.704286, -122.179419"
9,"47.714843, -122.185314","47.768714, -122.189338","via: 47.726027, -122.189113|via: 47.755407, -122.185520"
10,"47.768714, -122.189338","47.793881, -122.211495","via: 47.781036, -122.193414|via: 47.791430, -122.207249"
11,"47.793881, -122.211495","47.815736, -122.295716","via: 47.827364, -122.255521|via: 47.832140, -122.262888"
12,"47.815736, -122.295716","47.793852, -122.214048","via: 47.823693, -122.273504|via: 47.823357, -122.250880"
13,"47.793852, -122.214048","47.768714, -122.189338","via: 47.786706, -122.198997|via: 47.776773, -122.191643"
14,"47.768714, -122.189338","47.714843, -122.185314","via: 47.753177, -122.186627|via: 47.724512, -122.190063"
15,"47.714843, -122.185314","47.679203, -122.184579","via: 47.702908, -122.179641|via: 47.686038, -122.182916"
16,"47.679203, -122.184579","47.679203, -122.184580","via: 47.661273, -122.187184|via: 47.633379, -122.187846"
17,"47.615450, -122.188953","47.532560, -122.195640","via: 47.583933, -122.176927|via: 47.561833, -122.187231"
18,"47.532560, -122.195640","47.472673, -122.213126","via: 47.512282, -122.198311|via: 47.486093, -122.194684"
19,"47.472673, -122.213126","47.464101, -122.287962","via: 47.467480, -122.227457|via: 47.465470, -122.274194"
20,"47.464101, -122.287962","47.469821, -122.337402","via: 47.466066, -122.300491|via: 47.469936, -122.325623"
23,"47.734880, -122.323849","47.733992, -122.312782","via: 47.734038, -122.322001|via: 47.733991, -122.314858"
24,"47.733992, -122.312782","47.733819, -122.302101","via: 47.733887, -122.308198|via: 47.733844, -122.303949"
25,"47.733819, -122.302101","47.734655, -122.292271","via: 47.733803, -122.298955|via: 47.733746, -122.293290"
26,"47.734655, -122.292271","47.753558, -122.276438","via: 47.740435, -122.288763|via: 47.750462, -122.282902"
27,"47.753558, -122.276438","47.758329, -122.249745","via: 47.755681, -122.272379|via: 47.758436, -122.258110"
28,"47.758329, -122.249745","47.761718, -122.205209","via: 47.753557, -122.227068|via: 47.758946, -122.208489"
29,"47.761718, -122.205209","47.761639, -122.192873","via: 47.761871, -122.198553|via: 47.763959, -122.193389"
30,"47.761639, -122.192873","47.768979, -122.182971","via: 47.765401, -122.191369|via: 47.769053, -122.186066"
31,"47.768979, -122.182971","47.756646, -122.152385","via: 47.766196, -122.174224|via: 47.768823, -122.159688"
32,"47.756646, -122.152385","47.769176, -122.182791","via: 47.768873, -122.162816|via: 47.765443, -122.172003"
33,"47.769176, -122.182791","47.761639, -122.192873","via: 47.769020, -122.188039|via: 47.765191, -122.191768"
34,"47.761639, -122.192873","47.761854, -122.205474","via: 47.761968, -122.198277|via: 47.761970, -122.202871"
35,"47.761854, -122.205474","47.758329, -122.249745","via: 47.756294, -122.212058|via: 47.755524, -122.232933"
36,"47.758329, -122.249745","47.753558, -122.276438","via: 47.758429, -122.261655|via: 47.755914, -122.272083"
37,"47.753558, -122.276438","47.733862, -122.292515","via: 47.750151, -122.283320|via: 47.740673, -122.288775"
38,"47.733862, -122.292515","47.733819, -122.302101","via: 47.733786, -122.294217|via: 47.733809, -122.298593"
39,"47.733819, -122.302101","47.733992, -122.312782","via: 47.733862, -122.304727|via: 47.733920, -122.308923"
40,"47.733992, -122.312782","47.734412, -122.323309","via: 47.734005, -122.315982|via: 47.734019, -122.320337"
21,"47.734880, -122.323849","47.756646, -122.152385","|via: 47.733992, -122.312782|via: 47.733819, -122.302101|via: 47.734655, -122.292271|via: 47.753558, -122.276438|via: 47.758329, -122.249745|via: 47.761718, -122.205209|via: 47.761639, -122.192873|via: 47.768979, -122.182971"
22,"47.756646, -122.152385","47.734412, -122.323309","|via: 47.769176, -122.182791|via: 47.761639, -122.192873|via: 47.761854, -122.205474|via: 47.758329, -122.249745|via: 47.753558, -122.276438|via: 47.733862, -122.292515|via: 47.733819, -122.302101|via: 47.733992, -122.312782"
